pca_var,tau,cross_dim,shared_count,shared_ratio
0.8,0.0001,1490,1490,1.0
0.8,0.0002,1490,1200,0.8053691275167785
0.8,0.0005,1490,386,0.25906040268456376
0.8,0.001,1490,144,0.09664429530201342
0.8,0.002,1490,69,0.046308724832214765
0.8,0.005,1490,10,0.006711409395973154
0.8,0.01,1490,1,0.0006711409395973154
0.9,0.0001,2340,2169,0.926923076923077
0.9,0.0002,2340,1085,0.4636752136752137
0.9,0.0005,2340,311,0.1329059829059829
0.9,0.001,2340,123,0.052564102564102565
0.9,0.002,2340,59,0.025213675213675214
0.9,0.005,2340,7,0.0029914529914529917
0.9,0.01,2340,1,0.00042735042735042735
0.95,0.0001,2989,2353,0.7872198059551689
0.95,0.0002,2989,1001,0.33489461358313816
0.95,0.0005,2989,270,0.09033121445299432
0.95,0.001,2989,109,0.03646704583472733
0.95,0.002,2989,49,0.01639344262295082
0.95,0.005,2989,4,0.0013382402141184342
0.95,0.01,2989,1,0.00033456005352960856
0.97,0.0001,3332,2413,0.7241896758703481
0.97,0.0002,3332,963,0.289015606242497
0.97,0.0005,3332,245,0.07352941176470588
0.97,0.001,3332,100,0.030012004801920768
0.97,0.002,3332,44,0.013205282112845138
0.97,0.005,3332,2,0.0006002400960384153
0.97,0.01,3332,1,0.00030012004801920766
0.99,0.0001,3769,2484,0.6590607588219687
0.99,0.0002,3769,917,0.24330061024144337
0.99,0.0005,3769,226,0.05996285486866543
0.99,0.001,3769,89,0.023613690634120457
0.99,0.002,3769,40,0.01061289466702043
0.99,0.005,3769,2,0.0005306447333510214
0.99,0.01,3769,1,0.0002653223666755107
