method,kind,basis_k,decoding,mean_success,std_success,worst_success,mean_hits,std_hits,worst_hits
no_steer,baseline,,greedy,0.0,0.0,0.0,0.0,0.0,0.0
v_orig_a45,v_orig,,greedy,0.04,0.058309518948453,0.0,0.09,0.13564659966250536,0.0
v_fixed_k16_a45,v_fixed,16,greedy,0.12,0.060000000000000005,0.0,0.4,0.13038404810405296,0.15
v_fixed_k32_a45,v_fixed,32,greedy,0.05,0.0316227766016838,0.0,0.21000000000000002,0.11575836902790225,0.05
v_fixed_k64_a45,v_fixed,64,greedy,0.09,0.066332495807108,0.0,0.25,0.14491376746189438,0.05
v_fixed_k128_a45,v_fixed,128,greedy,0.0,0.0,0.0,0.04,0.03741657386773942,0.0
rand0_a45,rand,,greedy,0.0,0.0,0.0,0.0,0.0,0.0
no_steer,baseline,,sample,0.0,0.0,0.0,0.0,0.0,0.0
v_orig_a45,v_orig,,sample,0.03333333333333333,0.023570226039551584,0.0,0.12666666666666665,0.06289320754704403,0.05
v_fixed_k16_a45,v_fixed,16,sample,0.1,0.014907119849998601,0.08333333333333333,0.36,0.034318767136623345,0.31666666666666665
v_fixed_k32_a45,v_fixed,32,sample,0.09666666666666665,0.028674417556808753,0.06666666666666667,0.34,0.06377042156569665,0.26666666666666666
v_fixed_k64_a45,v_fixed,64,sample,0.12666666666666665,0.016996731711975945,0.1,0.4133333333333334,0.06182412330330469,0.31666666666666665
v_fixed_k128_a45,v_fixed,128,sample,0.06333333333333332,0.02666666666666667,0.03333333333333333,0.21333333333333332,0.09683892697555967,0.08333333333333333
rand0_a45,rand,,sample,0.0,0.0,0.0,0.0,0.0,0.0
