mode,n_tasks,overlap_mean,overlap_std,cross_dim_mean,cross_dim_std,shared_count_all_mean,shared_count_all_std,shared_ratio_all_mean,shared_ratio_all_std
decode-last,2,0.9191100805997848,0.006451570015835036,2551.3,118.40190032258772,108.25,6.6548854235065535,0.042589011574492394,0.004051624024342612
decode-last,3,0.9347308993339538,0.006092036719356066,2712.45,85.7790621305689,110.1,4.0730823708832595,0.040644352710341496,0.002183954495515723
decode-last,4,0.9465637832880021,0.005102483548168842,2810.45,63.95582459792071,109.35,4.373499742768942,0.038948596553433086,0.0021591317913204557
decode-last,5,0.9580649703741073,0.0032428397057191914,2886.2,33.449364717435216,112.3,5.070502933634887,0.03890876590613663,0.0016858659939817955
decode-last,6,0.9705863475799561,0.0010837069949555926,2909.15,26.08883860964301,115.5,2.479919353527449,0.03970716825345758,0.000989229719562759
decode-last,7,0.983236449956894,0.0017503231399576197,2944.7,18.201922975334227,115.9,1.5132745950421556,0.03935901821518898,0.00046857065812775484
decode-last,8,1.0,0.0,2961.0,0.0,119.0,0.0,0.04018912529550826,1.3877787807814457e-17
decode-step-t,2,0.9411174237728119,0.011976264312880954,177.6,10.214695296483395,167.8,9.831581764904364,0.9468288755471311,0.05990730584340972
decode-step-t,3,0.9459524929523468,0.00682049217585878,263.4,17.610792145727004,184.15,20.440829239539184,0.7043281637912759,0.10190113351334809
decode-step-t,4,0.9471122473478317,0.007772177212077502,347.65,18.852784940162024,160.3,18.35510828080292,0.4645938455026871,0.07312489877052844
decode-step-t,5,0.9544706165790557,0.005209948878783183,425.45,11.681074436882938,153.2,18.032193432857802,0.36099651354411566,0.04865990886773998
decode-step-t,6,0.9628053396940232,0.005178011276510215,504.3,14.156623891309678,148.1,13.77279927973976,0.29429621295784825,0.032721393788261985
decode-step-t,7,0.9754245847463607,0.00394580640435508,575.9,10.47807234180028,151.85,9.034793854870182,0.26396506465379466,0.019476348633690164
decode-step-t,8,1.0,0.0,644.0,0.0,162.0,0.0,0.251552795031056,1.1102230246251565e-16
prefill-last,2,0.8946075439453125,0.02779433413448178,162.1,3.3896902513356584,134.5,5.783597496368502,0.8296200489520977,0.028038839015929542
prefill-last,3,0.9066268116235733,0.02925672153055897,223.5,4.511097427455985,134.75,4.928234978164089,0.6029427130699049,0.019584981886055966
prefill-last,4,0.9238438040018082,0.0255715387976503,280.1,3.3301651610693423,135.65,4.04073013204297,0.484263494158993,0.012272243635170184
prefill-last,5,0.9324544906616211,0.019761087861427742,330.1,5.39351462406472,134.4,3.1999999999999997,0.40724921505785633,0.0114049788425942
prefill-last,6,0.9313178360462189,0.023991397116472985,375.95,4.5549423706562955,133.7,2.511971337416094,0.35570305723580253,0.008773378577765114
prefill-last,7,0.9516494572162628,0.01806327155369282,415.75,4.299709292498738,136.25,2.7179955849853767,0.3276948805189853,0.003836315955434379
prefill-last,8,1.0,0.0,456.0,0.0,131.0,0.0,0.287280701754386,5.551115123125783e-17
