pool,protocol,n,real_mean_utility_mean,real_mean_utility_ci_low,real_mean_utility_ci_high,real_worst_case_template_mean,real_worst_case_template_ci_low,real_worst_case_template_ci_high,real_flip_rate_mean,real_flip_rate_ci_low,real_flip_rate_ci_high,regret_at_1_mean,regret_at_1_ci_low,regret_at_1_ci_high,top_k_positive_rate_mean,top_k_positive_rate_ci_low,top_k_positive_rate_ci_high
caa_v2,DECODE,1.0,0.0265625,0.0265625,0.0265625,0.0265625,0.0265625,0.0265625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
caa_v2,TRAD-A,1.0,0.006250000000000001,0.006250000000000001,0.006250000000000001,0.00625,0.00625,0.00625,0.0,0.0,0.0,0.020312499999999997,0.020312499999999997,0.020312499999999997,1.0,1.0,1.0
caa_v2,TRAD-B,1.0,0.006250000000000001,0.006250000000000001,0.006250000000000001,0.00625,0.00625,0.00625,0.0,0.0,0.0,0.020312499999999997,0.020312499999999997,0.020312499999999997,1.0,1.0,1.0
instr64,DECODE,1.0,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.0,0.0,0.0,0.0031250000000000028,0.0031250000000000028,0.0031250000000000028,1.0,1.0,1.0
instr64,TRAD-A,1.0,-0.0020833333333333333,-0.0020833333333333333,-0.0020833333333333333,-0.0020833333333333333,-0.0020833333333333333,-0.0020833333333333333,1.0,1.0,1.0,0.015625000000000003,0.015625000000000003,0.015625000000000003,0.8,0.8,0.8
instr64,TRAD-B,1.0,-0.0020833333333333333,-0.0020833333333333333,-0.0020833333333333333,-0.0020833333333333333,-0.0020833333333333333,-0.0020833333333333333,1.0,1.0,1.0,0.015625000000000003,0.015625000000000003,0.015625000000000003,0.8,0.8,0.8
random100,DECODE,1.0,0.0015624999999999999,0.0015624999999999999,0.0015624999999999999,-0.0015625,-0.0015625,-0.0015625,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0041666666666666675,0.0041666666666666675,0.0041666666666666675,1.0,1.0,1.0
random100,TRAD-A,1.0,-0.008333333333333333,-0.008333333333333333,-0.008333333333333333,-0.0125,-0.0125,-0.0125,1.0,1.0,1.0,0.0140625,0.0140625,0.0140625,0.2,0.2,0.2
random100,TRAD-B,1.0,-0.008333333333333333,-0.008333333333333333,-0.008333333333333333,-0.0125,-0.0125,-0.0125,1.0,1.0,1.0,0.0140625,0.0140625,0.0140625,0.2,0.2,0.2
sae64,DECODE,1.0,0.004166666666666667,0.004166666666666667,0.004166666666666667,0.004166666666666667,0.004166666666666667,0.004166666666666667,0.0,0.0,0.0,0.0031249999999999993,0.0031249999999999993,0.0031249999999999993,1.0,1.0,1.0
sae64,TRAD-A,1.0,-0.005208333333333333,-0.005208333333333333,-0.005208333333333333,-0.005208333333333333,-0.005208333333333333,-0.005208333333333333,1.0,1.0,1.0,0.012499999999999999,0.012499999999999999,0.012499999999999999,0.6,0.6,0.6
sae64,TRAD-B,1.0,-0.005208333333333333,-0.005208333333333333,-0.005208333333333333,-0.005208333333333333,-0.005208333333333333,-0.005208333333333333,1.0,1.0,1.0,0.012499999999999999,0.012499999999999999,0.012499999999999999,0.6,0.6,0.6
OVERALL,DECODE,4.0,0.010677083333333334,0.0022135416666666666,0.020963541666666665,0.009895833333333333,-0.0001302083333333334,0.020963541666666665,0.08333333333333333,0.0,0.25,0.0026041666666666674,0.0007812500000000007,0.003906250000000002,1.0,1.0,1.0
OVERALL,TRAD-A,4.0,-0.0023437499999999995,-0.0075520833333333325,0.0033854166666666676,-0.0033854166666666668,-0.010677083333333334,0.0033854166666666668,0.75,0.25,1.0,0.015624999999999998,0.01328125,0.018749999999999996,0.65,0.30000000000000004,0.9
OVERALL,TRAD-B,4.0,-0.0023437499999999995,-0.0075520833333333325,0.0033854166666666676,-0.0033854166666666668,-0.010677083333333334,0.0033854166666666668,0.75,0.25,1.0,0.015624999999999998,0.01328125,0.018749999999999996,0.65,0.30000000000000004,0.9
